#,Movie,Year,Rating,Link,Quote
118,岁月神偷,2010,8.6,https://movie.douban.com/subject/3792799/, 岁月流逝，来日可追。 
119,记忆碎片,2000,8.5,https://movie.douban.com/subject/1304447/, 一个针管引发的血案。 
120,疯狂原始人,2013,8.8,https://movie.douban.com/subject/1907966/, 老少皆宜，这就是好莱坞动画的魅力。 
121,东邪西毒,1994,8.5,https://movie.douban.com/subject/1292328/, 电影诗。 
122,七武士,1954,9.1,https://movie.douban.com/subject/1295399/, 时代悲歌。 
123,倩女幽魂,1987,8.5,https://movie.douban.com/subject/1297447/, 两张绝世的脸。  
124,穿越时空的少女,2006,8.6,https://movie.douban.com/subject/1937946/, 爱上未来的你。  
125,哈利·波特与魔法石,2001,8.6,https://movie.douban.com/subject/1295038/, 童话世界的开端。 
126,魂断蓝桥,1940,8.8,https://movie.douban.com/subject/1293964/, 中国式内在的美国电影。 
127,穿条纹睡衣的男孩,2008,8.8,https://movie.douban.com/subject/3008247/, 尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。 
128,怪兽电力公司,2001,8.6,https://movie.douban.com/subject/1291579/, 不要给它起名字，起了名字就有感情了。 
129,恋恋笔记本,2004,8.5,https://movie.douban.com/subject/1309163/, 爱情没有那么多借口，如果不能圆满，只能说明爱的不够。  
130,猜火车,1996,8.5,https://movie.douban.com/subject/1292528/, 不可猜的青春迷笛。  
131,末代皇帝,1987,8.7,https://movie.douban.com/subject/1293172/, “不要跟我比惨，我比你更惨”再适合这部电影不过了。 
132,卢旺达饭店,2004,8.8,https://movie.douban.com/subject/1291822/, 当这个世界闭上双眼，他却敞开了怀抱。 
133,黑天鹅,2010,8.5,https://movie.douban.com/subject/1978709/, 黑暗之美。 
134,杀人回忆,2003,8.6,https://movie.douban.com/subject/1300299/, 关于连环杀人悬案的集体回忆。 
135,消失的爱人,2014,8.7,https://movie.douban.com/subject/21318488/,
136,秒速5厘米,2007,8.4,https://movie.douban.com/subject/2043546/, 青春就是放弃和怀念。 
137,完美的世界,1993,9.0,https://movie.douban.com/subject/1300992/, 坏人的好总是比好人的好来得更感人。 
138,教父3,1990,8.7,https://movie.douban.com/subject/1294240/, 任何信念的力量，都无法改变命运。 
139,傲慢与偏见,2005,8.4,https://movie.douban.com/subject/1418200/, 爱是摈弃傲慢与偏见之后的曙光。 
140,玩具总动员3,2010,8.8,https://movie.douban.com/subject/1858711/, 跨度十五年的欢乐与泪水。 
141,我是山姆,2001,8.8,https://movie.douban.com/subject/1306861/, 爱并不需要智商 。 
142,英雄本色,1986,8.7,https://movie.douban.com/subject/1297574/, 英雄泪短，兄弟情长。  
143,人工智能,2001,8.6,https://movie.douban.com/subject/1302827/, 对爱的执着，可以超越一切。 
144,红辣椒,2006,8.8,https://movie.douban.com/subject/1865703/, 梦的勾结。 
145,雨中曲,1952,8.9,https://movie.douban.com/subject/1293460/, 骨灰级歌舞片。 
146,恐怖直播,2013,8.7,https://movie.douban.com/subject/21360417/, 恐怖分子的“秋菊打官司”。 
147,香水,2006,8.4,https://movie.douban.com/subject/1760622/, 一个单凭体香达到高潮的男人。 
148,纵横四海,1991,8.7,https://movie.douban.com/subject/1295409/, 香港浪漫主义警匪动作片的巅峰之作。 
149,冰川时代,2002,8.4,https://movie.douban.com/subject/1291578/, 松鼠才是角儿。 
150,撞车,2004,8.6,https://movie.douban.com/subject/1388216/, 天使与魔鬼的冲撞。 
151,萤火之森,2011,8.8,https://movie.douban.com/subject/5989818/, 触不到的恋人。 
152,碧海蓝天,1988,8.7,https://movie.douban.com/subject/1300960/, 在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。 
153,浪潮,2008,8.7,https://movie.douban.com/subject/2297265/, 世界离独裁只有五天。 
154,喜宴,1993,8.7,https://movie.douban.com/subject/1303037/, 中国家庭的喜怒哀乐忍。 
155,朗读者,2008,8.5,https://movie.douban.com/subject/2213597/, 当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。  
156,追随,1998,9.0,https://movie.douban.com/subject/1397546/, 诺兰的牛逼来源于内心散发出的恐惧。 
157,海盗电台,2009,8.6,https://movie.douban.com/subject/3007773/, 生命不止，摇滚不死。 
158,可可西里,2004,8.6,https://movie.douban.com/subject/1308857/, 坚硬的信仰。 
159,梦之安魂曲,2000,8.7,https://movie.douban.com/subject/1292270/, 一场没有春天的噩梦。 
160,战争之王,2005,8.5,https://movie.douban.com/subject/1419936/, 做一颗让别人需要你的棋子。 
161,哈利·波特与死亡圣器(下),2011,8.6,https://movie.douban.com/subject/3011235/, 10年的完美句点。 
162,罗生门,1950,8.7,https://movie.douban.com/subject/1291879/, 人生的N种可能性。 
163,7号房的礼物,2013,8.6,https://movie.douban.com/subject/10777687/, 《我是山姆》的《美丽人生》。 
164,小森林 夏秋篇,2014,8.9,https://movie.douban.com/subject/25814705/,
165,迁徙的鸟,2001,9.1,https://movie.douban.com/subject/1292281/, 最美的飞翔。 
166,荒野生存,2007,8.6,https://movie.douban.com/subject/1905462/, 出门必备：本草纲目。 
167,一次别离,2011,8.7,https://movie.douban.com/subject/5964718/, 只有有信仰的人才能说出事实真相。 
168,喜剧之王,1999,8.3,https://movie.douban.com/subject/1302425/, 我是一个演员。 
169,谍影重重,2002,8.5,https://movie.douban.com/subject/1304102/, 哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。 
170,谍影重重2,2004,8.5,https://movie.douban.com/subject/1308767/, 谁说王家卫镜头很晃？ 
171,花样年华,2000,8.4,https://movie.douban.com/subject/1291557/, 偷情本没有这样美。 
172,燕尾蝶,1996,8.6,https://movie.douban.com/subject/1307793/, 现实与童话交相辉映的旅程。 
173,绿里奇迹,1999,8.7,https://movie.douban.com/subject/1300374/, 天使暂时离开。 
174,勇闯夺命岛,1996,8.5,https://movie.douban.com/subject/1292728/, 类型片的极致。  
175,地球上的星星,2007,8.8,https://movie.douban.com/subject/2363506/, 天使保护事件始末。 
176,时空恋旅人,2013,8.6,https://movie.douban.com/subject/10577869/, 把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。 
177,卡萨布兰卡,1942,8.6,https://movie.douban.com/subject/1296753/, 与同名歌曲无关。 
178,英国病人,1996,8.4,https://movie.douban.com/subject/1291853/," In memory, love lives forever... "
179,叫我第一名,2008,8.6,https://movie.douban.com/subject/4798888/, 乐观比一切都有力量。 
180,阿飞正传,1990,8.5,https://movie.douban.com/subject/1305690/, 王家卫是一种风格，张国荣是一个代表。 
181,唐伯虎点秋香,1993,8.3,https://movie.douban.com/subject/1306249/, 华太师是黄霑，吴镇宇四大才子之一。 
182,变脸,1997,8.4,https://movie.douban.com/subject/1292659/, 当发哥的风衣、墨镜出现在了凯奇身上⋯⋯ 
183,心迷宫,2014,8.6,https://movie.douban.com/subject/25917973/,
184,这个男人来自地球,2007,8.5,https://movie.douban.com/subject/2300586/, 科幻真正的魅力不是视觉效果能取代的。  
185,惊魂记,1960,8.8,https://movie.douban.com/subject/1293181/, 故事的反转与反转，分裂电影的始祖。 
186,穆赫兰道,2001,8.3,https://movie.douban.com/subject/1292217/, 大卫·林奇的梦境迷宫。 
187,魔女宅急便,1989,8.4,https://movie.douban.com/subject/1307811/, 宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。 
188,蝙蝠侠：黑暗骑士崛起,2012,8.5,https://movie.douban.com/subject/3395373/, 诺兰就是保证。 
189,E.T. 外星人,1982,8.5,https://movie.douban.com/subject/1294638/, 生病的E.T.皮肤的颜色就像柿子饼。 
190,超能陆战队,2014,8.6,https://movie.douban.com/subject/11026735/,
191,恐怖游轮,2009,8.3,https://movie.douban.com/subject/3011051/, 不要企图在重复中寻找已经失去的爱。 
192,再次出发之纽约遇见你,2013,8.5,https://movie.douban.com/subject/6874403/, 爱我就给我看你的播放列表。 
193,终结者2：审判日,1991,8.5,https://movie.douban.com/subject/1291844/, 少见的超越首部的续集，动作片中的经典。 
194,发条橙,1971,8.4,https://movie.douban.com/subject/1292233/, 我完全康复了。 
195,非常嫌疑犯,1995,8.6,https://movie.douban.com/subject/1292214/, 我不信仰上帝，但我敬畏上帝。 
196,曾经,2006,8.3,https://movie.douban.com/subject/2053515/, 有些幸福无关爱情。 
197,上帝也疯狂,1980,8.6,https://movie.douban.com/subject/1297478/, 纯净原始的笑与感动。 
198,东京物语,1953,9.1,https://movie.douban.com/subject/1291568/, 东京那么大，如果有一天走失了，恐怕一辈子不能再相见。 
199,哪吒闹海,1979,8.8,https://movie.douban.com/subject/1307315/, 想你时你在闹海。 
200,爱·回家,2002,9.1,https://movie.douban.com/subject/1299361/, 献给所有外婆的电影。 
201,末路狂花,1991,8.6,https://movie.douban.com/subject/1291992/, 没有了退路，只好飞向自由。 
202,美国丽人,1999,8.4,https://movie.douban.com/subject/1292062/, 每个人的内心都是深不可测的大海。  
203,源代码,2011,8.3,https://movie.douban.com/subject/3075287/, 邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。 
204,达拉斯买家俱乐部,2013,8.6,https://movie.douban.com/subject/1793929/, Jared Leto的腿比女人还美！ 
205,忠犬八公物语,1987,9.0,https://movie.douban.com/subject/1959195/, 养狗三日，便会对你终其一生。 
206,两小无猜,2003,8.2,https://movie.douban.com/subject/1308817/," Love me, if you dare.  "
207,蓝色大门,2002,8.2,https://movie.douban.com/subject/1308575/, 青春的窃窃私语。  
208,被解救的姜戈,2012,8.5,https://movie.douban.com/subject/6307447/, 热血沸腾，那个低俗、性感的无耻混蛋又来了。 
209,黑客帝国3：矩阵革命,2003,8.4,https://movie.douban.com/subject/1302467/, 不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。 
210,黄金三镖客,1966,9.1,https://movie.douban.com/subject/1401118/, 最棒的西部片。 
211,新龙门客栈,1992,8.4,https://movie.douban.com/subject/1292287/, 嬉笑怒骂，调风动月。 
212,初恋这件小事,2010,8.3,https://movie.douban.com/subject/4739952/, 黑小鸭速效美白记。 
213,勇士,2011,8.9,https://movie.douban.com/subject/3217169/, 热血沸腾，相当完美的娱乐拳击大餐。 
214,牯岭街少年杀人事件,1991,8.6,https://movie.douban.com/subject/1292329/, 弱者送给弱者的一刀。 
215,蝴蝶,2002,8.6,https://movie.douban.com/subject/1292056/, 我们长途跋涉寻找的东西，有可能一直就在身边。  
216,荒蛮故事,2014,8.7,https://movie.douban.com/subject/24750126/,
217,青蛇,1993,8.3,https://movie.douban.com/subject/1303394/, 人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。 
218,巴黎淘气帮,2009,8.6,https://movie.douban.com/subject/3157605/, 四百击的反面。 
219,暖暖内含光,2004,8.4,https://movie.douban.com/subject/1308777/, 恋爱是一次神经的冒险。就算失去记忆，也会爱上你。 
220,麦兜故事,2001,8.5,https://movie.douban.com/subject/1302476/, 麦兜是一只很哲学的猪。  
221,与狼共舞,1990,8.9,https://movie.douban.com/subject/1293764/, 充满诗意与情怀的史诗作品。  
222,爱在暹罗,2007,8.3,https://movie.douban.com/subject/2365260/, 把爱放在心底，有爱就有希望。 
223,无耻混蛋,2009,8.4,https://movie.douban.com/subject/1438652/, 昆汀同学越来越变态了，比北野武还杜琪峰。 
224,未麻的部屋,1997,8.7,https://movie.douban.com/subject/1395091/, 好的剧本是，就算你猜到了结局也猜不到全部。 
225,夜访吸血鬼,1994,8.3,https://movie.douban.com/subject/1299327/, 弥漫淡淡血腥气的优雅。 
226,城市之光,1931,9.2,https://movie.douban.com/subject/1293908/, 永远的小人物，伟大的卓别林。 
227,中央车站,1998,8.7,https://movie.douban.com/subject/1292218/, 心灵救赎。 
228,无敌破坏王,2012,8.7,https://movie.douban.com/subject/6534248/, 迪士尼和皮克斯拿错剧本的产物。 
229,遗愿清单,2007,8.5,https://movie.douban.com/subject/1867345/, 用剩余不多的时间，去燃烧整个生命。 
230,偷拐抢骗,2000,8.5,https://movie.douban.com/subject/1301171/, 典型盖·里奇式的英国黑色幽默黑帮片。 
231,罪恶之城,2005,8.4,https://movie.douban.com/subject/1309027/, 权力不是来自枪和子弹，权力来自谎言。 
232,大卫·戈尔的一生,2003,8.7,https://movie.douban.com/subject/1305725/, 捍卫人权只是信仰，一点不妨碍其行为的残忍。 
233,国王的演讲,2010,8.3,https://movie.douban.com/subject/4023638/, 皇上无话儿。 
234,血钻,2006,8.5,https://movie.douban.com/subject/1428175/, 每个美丽事物背后都是滴血的现实。 
235,荒岛余生,2000,8.4,https://movie.douban.com/subject/1298653/, 一个人的独角戏。 
236,爆裂鼓手,2014,8.6,https://movie.douban.com/subject/25773932/,
237,月球,2009,8.5,https://movie.douban.com/subject/3073124/, 2009媲美《第九区》的又一部科幻神作。 
238,寿司之神,2011,8.8,https://movie.douban.com/subject/6146955/, 仪式主义的狂欢，偏执狂的完胜。 
239,千钧一发,1997,8.7,https://movie.douban.com/subject/1300117/, 一部能引人思考的科幻励志片。 
240,我爱你,2011,9.0,https://movie.douban.com/subject/5908478/, 你要相信，这世上真的有爱存在，不管在什么年纪  
241,角斗士,2000,8.4,https://movie.douban.com/subject/1293530/, 罗马斗兽场的鸦雀无声，久久停留在这样的肃穆中。 
242,导盲犬小Q,2004,8.4,https://movie.douban.com/subject/1316572/, 宠物的意义在于化解人的孤独。 
243,廊桥遗梦,1995,8.5,https://movie.douban.com/subject/1293929/, 这样确切的爱，一生只有一次。 
244,不一样的天空,1993,8.6,https://movie.douban.com/subject/1301617/, 生命有裂缝，阳光才照得进来。 
245,枪火,1999,8.6,https://movie.douban.com/subject/1300741/, 一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。 
246,我们俩,2005,8.6,https://movie.douban.com/subject/1756073/, 想外婆了，有没有？！ 
247,疯狂的石头,2006,8.2,https://movie.douban.com/subject/1862151/, 中国版《两杆大烟枪》。 
248,假如爱有天意,2003,8.2,https://movie.douban.com/subject/1304073/, 琼瑶阿姨在韩国的深刻版。 
249,速度与激情5,2011,8.4,https://movie.douban.com/subject/4286017/, 爆米花动作电影新标杆。 
250,小森林 冬春篇,2015,8.9,https://movie.douban.com/subject/25814707/,
